"indicator_name","primary_DNA","secondary_DNA","rationale","confidence"
"Crude Oil Prices: West Texas Intermediate (WTI)","Sector/Commodity/Structural","Inflation/Prices","Direct energy price signal affecting inflation and growth","High"
"Refinery Utilization & Capacity - Operable Utilization Rate","Sector/Commodity/Structural","Supply","Refining utilization → supply tightness indicator","Medium"
"Total Primary Energy Consumption (Table 1.1)","Sector/Commodity/Structural","Growth","Broad energy demand as activity proxy (low-frequency)","Low"
"Electricity Net Generation, Total (Table 7.2a)","Sector/Commodity/Structural","Growth","Total generation — activity proxy (low-frequency)","Low"
"Electricity End Use, Total (Table 7.1)","Sector/Commodity/Structural","Growth","Sectoral electricity end use patterns","Low"
"Pharmaceutical and Other Medical Products Expenditures Price Index","Inflation/Prices","Sector/Structural","Pharma product price pressures","Low"
"Health Expenditures Price Index, MEPS Account Basis","Inflation/Prices","Sector/Structural","Health services/products price trend","Low"
"Electricity Price (YoY)","Inflation/Prices","Sector/Commodity/Structural","Energy price inflation measure (YoY)","Medium"
"Electricity Price (YoY) - CPI (YoY)","Inflation/Prices","Sector/Commodity/Structural","Energy contribution to CPI inflation (YoY)","Medium"
"Average Price of Electricity to Ultimate Customers (YoY)","Inflation/Prices","Sector/Commodity/Structural","Consumer electricity inflation indicator","Medium"
"Portland Cement Shipments","Sector/Construction","Growth","Construction activity proxy via cement shipments","Low"
"PPI Industry: Telecommunications","Inflation/Prices","Sector/Structural","Telecom sector price pressures","Low"
"FDA Novel Drug Approvals (NDAs)","Sector/Structural","Innovation","Pharma innovation pipeline (long-lead, low-frequency)","Low"
"Initial Jobless Claims","Growth","Labor/Risk","Near-term labor market stress signal","High"
"Continued Jobless Claims","Growth","Labor/Risk","Persisting unemployment measure","High"
"Job Openings: Total Nonfarm (JTSJOL)","Growth","Labor","Labor demand (JOLTS) indicating tightness","High"
"ADP Employment Change","Growth","Labor","Private payrolls employment change proxy","Medium"
"Philadelphia Fed Manufacturing Index","Growth","Regional","Regional manufacturing conditions indicator","Medium"
"PCE","Inflation/Prices","Growth","Headline PCE price index — policy-relevant inflation","High"
"Core PCE","Inflation/Prices","Growth","Core inflation excluding food/energy — policy focus","High"
"ISM Services PMI, Price","Inflation/Prices","Growth","Services price/backlog pressures within PMI","Medium"
"NAHB/Wells Fargo Housing Market Index","Sector/Housing","Sentiment","Builder sentiment → housing demand indicator","Medium"
"US10Y-US3M","Liquidity & Monetary","Growth","Alternative curve measure / term premium / recession signal","High"
"VIX1M/VIX3M","Risk & Volatility","Liquidity & Monetary","Near vs longer vol term structure — term premium/roll","High"
"Health Expenditures Price Index, Blended","Inflation/Prices","Sector/Structural","Blended health price measure (low-frequency)","Low"
"Health Services Expenditures Price Index, MEPS","Inflation/Prices","Sector/Structural","Health services price trend","Low"
